date,sForwardRtn_10,sForwardRtn_20,sForwardRtn_30,sForwardRtn_40,sForwardRtn_50,sForwardRtn_60,sForwardRtn_70,sForwardRtn_80,sForwardRtn_90,sForwardRtn_100
2023-05-05,0.0014213436224693732,0.002175334213259772,0.002726766403471803,0.0028839286626886063,0.0028482988868028247,0.0028095141164562465,0.002591996230519533,0.0025286021347805665,0.002354901215795402,0.0022668801628987767
2023-05-08,0.0010839935167579196,0.0014963588580452214,0.001930538872913501,0.002225700160206734,0.0021473421141313676,0.002139839670818211,0.0020647959839835694,0.0020802003106630274,0.0019436885850644403,0.001818628327316496
2023-05-09,0.001084144336131021,0.001481226104209088,0.0018825377403246524,0.0021354235025821122,0.0020338648680381377,0.0020045042111479505,0.00192120568137788,0.001935406424123265,0.0018053550727495926,0.0016927219220442824
2023-05-10,0.00109619376054515,0.0015138056024223134,0.0019071894394541156,0.00212984459326071,0.0019949545284468906,0.0019465288824572768,0.001852748888691469,0.0018485611768536137,0.001706977735317916,0.001604833148077911
2023-05-11,0.0012137134470548983,0.0016868289046804152,0.0020952606927837625,0.0022860327913566403,0.002111166640303641,0.0020337339451451664,0.0019095979318574097,0.0018789581838914993,0.001715885442599152,0.001601446552420449
2023-05-12,0.001188643876644302,0.0016642825491027802,0.0020801875236593492,0.0023172244548927967,0.0021718338728662356,0.0021114493296026104,0.0019827111608283765,0.001950687534378992,0.00177851623221148,0.0016626129276088308
2023-05-15,0.0011987850002194156,0.0016600083740538896,0.0020283691663577352,0.0021997316068494976,0.0020149794735376814,0.0019505193585771519,0.0018187134160215779,0.0017854603645277578,0.0016314983318468368,0.0015234199062466036
2023-05-16,0.0012062005037070112,0.0016720926321589502,0.002048827827168198,0.002219608311953447,0.0020417668441032877,0.001983850427312084,0.0018527714439537935,0.0018166653221155515,0.0016547048646269324,0.001544297961179164
2023-05-17,0.0011820421367511047,0.001639220895321758,0.001993891125523617,0.0021531537007779544,0.0019893237492002447,0.0019295897226656589,0.0018074847587329357,0.0017783526565799956,0.0016204755169013652,0.001516034810893463
2023-05-18,0.0011510065964125404,0.001588084465054873,0.0019160711545394005,0.0020611290450091024,0.0018690846519686666,0.0017885059001438997,0.0016577505342249,0.001626558106932463,0.0014805743614356714,0.0013904802140306538
2023-05-19,0.0011961474008719275,0.0016323447879246222,0.0019411907809104845,0.0020836811155225954,0.001897105479998329,0.0018048132666935723,0.0016654298186471461,0.0016235669233500838,0.001464251096760072,0.0013632556109390848
2023-05-22,0.0011898553800189227,0.0016081689316851389,0.0018951829021425226,0.002018227081234447,0.001812419079777916,0.0017033925706880781,0.0015615902328550701,0.0015243552258777937,0.0013772015118982406,0.0012863768417819
2023-05-23,0.0011432070950866402,0.001547100302327853,0.0018187130836053722,0.0019167622545562812,0.0016809381635132237,0.0015438905314509865,0.001383313845584433,0.0013477281143167152,0.001207464284578852,0.0011277733339302154
2023-05-24,0.0011417546779848298,0.0015640034985526796,0.0018582379573736096,0.001976750771134128,0.001732899752332706,0.001594627656506975,0.0014277031791491979,0.0013836483890954376,0.0012355900438291156,0.0011501627824541671
2023-05-25,0.0029450306497688095,0.004297647179529407,0.004928131365548372,0.005456915830525988,0.005040781536930328,0.004735040941521218,0.004523117379258035,0.004363078289183919,0.004158568816820307,0.003760456253418032
2023-05-26,0.002605865722323464,0.003721294861392277,0.0042541548863958,0.0048225775415544625,0.004552381565695152,0.004360580234253786,0.004240417057638113,0.004137496443859412,0.003999483691079386,0.0036587326993866576
2023-05-29,0.0025320173612120023,0.0036954760911331874,0.004318674057056215,0.004965097347932268,0.004770727243664896,0.00465134082176355,0.0045399129875003386,0.004449853687726768,0.0042783990353426615,0.003921038611124361
2023-05-30,2.8505053502048128e-06,2.9021797144368477e-06,1.8541406632266444e-06,1.872090753529676e-06,1.467288497147834e-06,1.137754394253676e-06,8.831345750248687e-07,5.668083464804852e-07,5.382098795525536e-07,5.645275404919659e-07
2023-05-31,2.84904053582391e-06,2.890546485390111e-06,1.836144338351886e-06,1.8523202797160465e-06,1.4493775466473124e-06,1.1176216466735056e-06,8.661617234562158e-07,5.541432022138082e-07,5.286372877222334e-07,5.543450204426037e-07
2023-06-01,2.841823681376532e-06,2.8846656391356973e-06,1.8298151863715972e-06,1.8464118282102149e-06,1.447794665931923e-06,1.1163602251507143e-06,8.654854348755237e-07,5.552256547858292e-07,5.287950193277879e-07,5.523975866728037e-07
2023-06-02,2.837247511378038e-06,2.8852047683214366e-06,1.839530440084225e-06,1.8540801816069319e-06,1.4513851446240622e-06,1.1177832219821937e-06,8.657475247808577e-07,5.552982912382376e-07,5.253768879942555e-07,5.447334459063313e-07
2023-06-07,2.3734958598531364e-06,2.7109571458794335e-06,1.693004912595164e-06,1.3986587265035766e-06,1.1146763581049157e-06,8.465028671356123e-07,7.18371861219147e-07,5.62549099636378e-07,4.480556072827824e-07,4.552756333042751e-07
2023-06-08,2.367873777275875e-06,2.704280402721082e-06,1.6817204067098857e-06,1.3835585584986987e-06,1.08781560947957e-06,8.12864193400209e-07,6.832292153147179e-07,5.296065530568939e-07,4.2216305606856963e-07,4.318500439470796e-07
2023-06-09,2.375111576080613e-06,2.7156715488585448e-06,1.6922138564856581e-06,1.3901429759544115e-06,1.0919799481312609e-06,8.05793748837047e-07,6.693471769070314e-07,5.122871264973128e-07,4.0497682840534566e-07,4.1271873163495343e-07
2023-06-12,2.3724573398054005e-06,2.718962132108871e-06,1.6989434217240529e-06,1.389597501288975e-06,1.0934237578696937e-06,8.043811969837833e-07,6.655230369023712e-07,5.060339314244544e-07,3.945716786635245e-07,3.9791598482885604e-07
2023-06-13,2.3484581316290942e-06,2.6862952743345048e-06,1.6792259641684737e-06,1.3760866448553344e-06,1.082147536801692e-06,7.866879239148972e-07,6.431677317397799e-07,4.838570740739456e-07,3.797076251199627e-07,3.835250422801195e-07
2023-06-14,2.3485039596371493e-06,2.6814181240952806e-06,1.6665005204696826e-06,1.3605285513751397e-06,1.064633416536509e-06,7.688003836880952e-07,6.285628676439003e-07,4.7288569726688934e-07,3.724563831797312e-07,3.7693260679372287e-07
2023-06-15,2.3576845853412465e-06,2.6934608641226987e-06,1.6819948005508678e-06,1.3772956167779071e-06,1.0806584092026839e-06,7.806980674152086e-07,6.324927199763408e-07,4.7009407966314143e-07,3.6921095769582024e-07,3.752420421054836e-07
2023-06-16,2.3776693414134797e-06,2.708831767894715e-06,1.6947307167614056e-06,1.3895038640798774e-06,1.0881952458019484e-06,7.853802854729253e-07,6.348718408766274e-07,4.7025133753653137e-07,3.701047319726314e-07,3.7606544822654797e-07
2023-06-19,2.3670728934721552e-06,2.680010855349302e-06,1.663881705193937e-06,1.3646362085895092e-06,1.061118945711037e-06,7.584750864042533e-07,6.135502754744948e-07,4.545833725000392e-07,3.618544588412931e-07,3.7056062540674617e-07
2023-06-20,2.3682954722881178e-06,2.692107738067051e-06,1.6843203572980414e-06,1.3904050391033707e-06,1.0866025919042954e-06,7.798431707062292e-07,6.28404121183479e-07,4.630895240609334e-07,3.6481126075571524e-07,3.722140310413735e-07
2023-06-21,2.3607742281051003e-06,2.697683082586444e-06,1.6951552992416907e-06,1.3975524554288299e-06,1.0959100514851272e-06,7.811891601372523e-07,6.304107241783541e-07,4.70023120313634e-07,3.6774957545837594e-07,3.7100464789219245e-07
2023-06-26,2.350629117797709e-06,2.6858854488276407e-06,1.6834942182519796e-06,1.3844254498351916e-06,1.0873039492098613e-06,7.769146329605903e-07,6.272405589369257e-07,4.664134868326286e-07,3.639251696663237e-07,3.6772316436284314e-07
2023-06-27,2.348888362369017e-06,2.6885596632331143e-06,1.682419219384279e-06,1.378042284172487e-06,1.0838155306558406e-06,7.777036192813114e-07,6.308103566166068e-07,4.686497737660389e-07,3.627619510337965e-07,3.6566227457068834e-07
2023-06-28,2.3572865733845205e-06,2.6742564999127083e-06,1.6535273844597853e-06,1.3540472932893621e-06,1.0603143267839954e-06,7.58540467993285e-07,6.187476481178678e-07,4.639345103640835e-07,3.647609216894665e-07,3.6958152049848536e-07
2023-06-29,2.3372943582788963e-06,2.6523218777940727e-06,1.632050754429848e-06,1.3359525384837312e-06,1.0505145028316676e-06,7.55190614265544e-07,6.156075896823765e-07,4.596398530676282e-07,3.5957932864594255e-07,3.646303292637043e-07
