date,sForwardRtn_10,sForwardRtn_20,sForwardRtn_30,sForwardRtn_40,sForwardRtn_50,sForwardRtn_60,sForwardRtn_70,sForwardRtn_80,sForwardRtn_90,sForwardRtn_100
2023-05-05,-6.968843333510222e-06,-9.653020159428038e-06,5.510510388218037e-06,2.786100005935932e-05,5.159842261759362e-05,2.896327881118932e-05,1.759598087813785e-05,-2.5215408261392014e-06,1.3095837086529727e-05,1.7756818086245296e-05
2023-05-08,0.0005721215556145909,-0.0012218659896161554,-0.002040052612901855,-0.00402897323590623,-0.005533921537498321,-0.00414456931466467,-0.0019347005068568457,2.2238770021054677e-05,-0.0007487575024356374,-0.0012562397295023953
2023-05-09,-6.706784864918269e-05,-0.00020218056935106254,-0.00038647486181297985,-0.0005361857692025573,-0.0007267490592230974,-0.0009458531092185751,-0.00120105458191766,-0.0014827278754412365,-0.0017901800369262144,-0.0021724975879207076
2023-05-10,-4.559957698857531e-05,-9.971807014452772e-05,-0.00019556627700811902,-0.00027437056769485935,-0.00035545043794837916,-0.00041495055437379413,-0.0004918698398066468,-0.0005684820195612783,-0.0006534596052023556,-0.0007302699411364522
2023-05-11,-0.00025188669639275574,-0.0006198530722607565,-0.0009468139213775206,-0.0013047765420346469,-0.001727330104812852,-0.002145635628723719,-0.0026089561649602633,-0.0030437002815681957,-0.0034950769909645185,-0.0038976303636664156
2023-05-12,-0.00024264611586932716,-0.0005320942899351699,-0.0008198239175030153,-0.0011801078335700321,-0.0015900166582418773,-0.0019285203674810347,-0.0024019865217144165,-0.0030056056252272256,-0.0036333039232552267,-0.004271357705083023
2023-05-15,-2.9846492372476163e-05,-0.0001465288383193375,-0.0002873847775006766,-0.00044386233409987597,-0.0006814146750055983,-0.00094585217689791,-0.0012332077619514603,-0.00133438874937708,-0.001426326253345378,-0.0016723463454457743
2023-05-16,-2.665650674438247e-05,-6.327571001207843e-05,-0.00010731592390733624,-0.00017888493034279307,-0.0002667050709588281,-0.00036291606580829416,-0.00046535507367351236,-0.0005894933456158657,-0.0007246499508095638,-0.000842119115009865
2023-05-17,-3.132582572806797e-05,-5.721021934368409e-05,-6.931759778483482e-05,-0.00011278694890926033,-0.0001468826755761654,-0.00017798592574136407,-0.0002006814759709652,-0.00022388343494417207,-0.0002550541511847637,-0.00030514598540976046
2023-05-18,-0.00012092010985242929,-0.0003251039779861298,-0.0006025313208792848,-0.0008678810172926266,-0.001191201800916808,-0.0015450970262034236,-0.0019347780567449124,-0.0023102356666129253,-0.002813379034509511,-0.0031893056793643737
2023-05-19,-0.0002016126027937215,-0.00047130488143243277,-0.0007848802595515902,-0.0011197214439053749,-0.0014696973330881047,-0.0018310630838063169,-0.0022170391645772725,-0.0026262715006748483,-0.0030559992189527208,-0.0035038546404522197
2023-05-22,-7.298836332880754e-05,-0.0001671053710541326,-0.00028039812578106726,-0.0004028704749645673,-0.0005218837065124049,-0.000646723831636109,-0.0007773614087431824,-0.0008982959755907682,-0.0010325631520990974,-0.0011657759950627344
2023-05-23,-7.695360056914069e-05,-0.00010822080836536685,-0.000137904696938973,-0.00015367103750474342,-0.00016974492919974438,-0.0001715136742406198,-0.0002088190157747416,-0.00022759452583120954,-0.0002309421686423896,-0.00022482004886348328
2023-05-24,-0.0001110596517746032,-0.0002745284899579037,-0.00044801913543790484,-0.0006285559472949398,-0.0008000404005783501,-0.0009886110023646921,-0.0012078647383606533,-0.0014198234199984672,-0.0016223407523643374,-0.00183493120828504
2023-05-25,-7.237482020738817e-05,-8.994225585645665e-05,-0.00010311900251713801,-0.0001036207801952127,-0.00012413012242107335,-0.00015377739720734418,-0.00020836087672493342,-0.0002476555328676522,-0.0002677127077939101,-0.0002587494286288017
2023-05-26,-4.902340089518731e-05,-0.00013320527493765333,-0.00019984447795873272,-0.0002468124379930714,-0.0002853803812699063,-0.00034134548903042017,-0.0003679267087912663,-0.0003837546609364306,-0.0003780507507904485,-0.00038565802358059287
2023-05-29,-0.00011649929460344488,-0.00030882471461501915,-0.0004720914604154913,-0.000643196515021538,-0.0008105721814044564,-0.0009707053419156786,-0.001115781612231137,-0.0012028413515963177,-0.0012908197198782112,-0.0013633562813737399
2023-05-30,-5.520321717344956e-05,-0.00014063534328778715,-0.00020263881918203275,-0.00025773893909719625,-0.00030042678266495315,-0.00035874460637685956,-0.0004200503249784937,-0.00045104019916686333,-0.0004458065939021427,-0.00044354296787307845
2023-05-31,-0.00015531038257110552,-0.00038676927956626805,-0.0005852919660074285,-0.0008049654959425556,-0.0010028640097508035,-0.0011616161138188197,-0.0012803248257775568,-0.0013743984983125568,-0.0014268738605089926,-0.0014846852862828719
2023-06-01,-0.00012258100063156085,-0.00034798595925567,-0.0005409303993832992,-0.0007523091817769334,-0.0009636736996776474,-0.0011303878871697925,-0.0012556815530948562,-0.0013840039612258437,-0.001518619645827668,-0.0016239616661397616
2023-06-02,-5.249427162445919e-05,-0.00015260859466437182,-0.00026437054150751926,-0.00037938254918534753,-0.0005055047180997363,-0.0006385934587833653,-0.0007576848711667861,-0.0008715589043164496,-0.0009854803378797072,-0.001112466276305124
