date,sForwardRtn_10,sForwardRtn_20,sForwardRtn_30,sForwardRtn_40,sForwardRtn_50,sForwardRtn_60,sForwardRtn_70,sForwardRtn_80,sForwardRtn_90,sForwardRtn_100
2023-05-05,-2.7655487624449417,-2.9114692111221223,-2.4852771744508932,-2.252428528660235,-2.4868707204054807,-2.321891025933834,-1.6783437745188814,-1.2456790055032756,-1.3937164385425205,-1.5913304834906903
2023-05-08,-1.6804426661374348,-2.317915050841809,-2.0910902346975013,-2.0303407267212736,-2.429763207020867,-2.2816840392467035,-1.6457116290163656,-1.264631178345864,-1.4501117786341888,-1.679063677682389
2023-05-09,-2.239685770976106,-2.261028890505617,-1.9140062143253602,-1.7867819951673503,-2.077933060763678,-2.002247729221598,-1.4755240205625069,-1.103998540754584,-1.307537623483599,-1.5542586909871807
2023-05-10,-3.412574655714838,-3.4670458094356533,-2.708901021643021,-2.3716548111231517,-2.624096035516733,-2.447614759988357,-1.7801971709622726,-1.3570279123820588,-1.5584912847175887,-1.7799593644343408
2023-05-11,-3.0089576338643527,-2.8406332819066127,-2.203717202879152,-1.9279160468239138,-2.325405805515054,-2.238824115104876,-1.6147063700782884,-1.231472266140608,-1.4095779326094622,-1.6089711939898543
2023-05-12,-2.555954687780899,-2.9947537422701163,-2.7807073208140674,-2.6253771316289756,-3.142052159531463,-2.9941633587307477,-2.2028074535824667,-1.641188992971482,-1.8558792989000015,-2.1169857109566808
2023-05-15,-3.2291901987959006,-3.3783084365803626,-2.8986992362766753,-2.730956074388862,-3.283783346367322,-2.973042830151383,-2.053222434723964,-1.5111400528431012,-1.704148031297672,-1.9537233102424958
2023-05-16,-3.5692254196629616,-3.36019730419266,-2.6092301317578666,-2.223963811999149,-2.3812785059449197,-2.0891104935020897,-1.3931214972075843,-1.0105368688108736,-1.1530717854513899,-1.331752616748393
2023-05-17,-4.348648148751969,-4.097441370784325,-3.3034126732134013,-2.9539344720743235,-3.550985909697368,-3.2881660252959524,-2.340703027522486,-1.74688674167278,-2.001372495740795,-2.223596611607143
2023-05-18,-3.383339173200551,-3.2036413486766024,-2.411274621556415,-2.099060655761169,-2.5082010900004303,-2.438931924711223,-1.8097615073063826,-1.3871533855074412,-1.5899134025428943,-1.8195126512134867
2023-05-19,-3.0549503182333435,-3.4930198978771134,-3.0738517976635293,-2.676122583825895,-2.776876757487861,-2.405513899558873,-1.6095154250693882,-1.0693000925134752,-1.2230138717849388,-1.4715816521871932
2023-05-22,-0.11625199687552779,-0.08199923822531163,-0.05179246044940933,-0.06919667805409424,-0.11964213592253947,-0.11809675515399376,-0.10370969586026946,-0.10428558732263227,-0.11721460511574411,-0.12284622849631388
2023-05-23,-0.14373907142079934,-0.11885353480519001,-0.09423060460263044,-0.08712610362552708,-0.10381399980299011,-0.10021463152169607,-0.08980362720367974,-0.08406486829590687,-0.09182708234980197,-0.09801050915007337
2023-05-24,-0.18214361359685105,-0.12204452425896783,-0.07382305159858626,-0.07242432649523622,-0.11074560430625358,-0.11510874738181509,-0.0986130529479261,-0.0956975635913433,-0.10343703738972243,-0.11518570772187986
2023-05-25,-0.0768612508231894,-0.05923161366730367,-0.05570184593504002,-0.07973003016018287,-0.10815684196892095,-0.11082419223761542,-0.09112727494676642,-0.08268347656539743,-0.08821979447777584,-0.0951405618591945
2023-05-26,-0.026894238540931426,-0.06120027793938032,-0.08392475441400116,-0.1129813331673557,-0.1425350919270536,-0.17240429670785695,-0.2024993016095724,-0.23276948121875618,-0.27173039280239863,-0.3082877883811228
2023-05-29,-0.036236064384238764,-0.07516682334161118,-0.09923858450260559,-0.13134716836659677,-0.16746408811823188,-0.20437253902113728,-0.24201493762378457,-0.2777438374018273,-0.3195565864208356,-0.3597004094327221
2023-05-30,-0.02400800284211435,-0.04918823347042123,-0.06677371216393668,-0.09129871658447786,-0.11419219946299353,-0.13758900080962144,-0.15927186323417297,-0.18309479620173041,-0.21320941572778418,-0.2433617209238783
2023-05-31,-0.01004507161984014,-0.01860817870138254,-0.03293201393454104,-0.04898001601624835,-0.06867595230444024,-0.09016000209804464,-0.11151500156476857,-0.13190991165383648,-0.15523850719487742,-0.18044882047164568
2023-06-01,-0.02872845556714476,-0.04975631116792978,-0.08229425920816302,-0.11954075789133212,-0.15785805635285777,-0.20535362137696755,-0.2514679793137462,-0.2932946680522053,-0.3400169566820792,-0.3875450212116105
2023-06-02,-0.008836114217714464,-0.0106185461089221,-0.014125223748268523,-0.019917451899603034,-0.027327462150467108,-0.03799746104627122,-0.05050707253196407,-0.061961591435132135,-0.07734102534432585,-0.09382285806418356
2023-06-07,-0.018824447150364243,-0.033740610030560614,-0.04967556318987243,-0.07413880320419186,-0.10273268442894179,-0.13439877609976225,-0.1677334641110415,-0.2008806324278154,-0.23820797886362954,-0.2759103608726521
2023-06-08,-0.009732903512906121,-0.019174517529293666,-0.029311257342374164,-0.04318569790000093,-0.06151215743733607,-0.08387767306604488,-0.10807874271355855,-0.12949675721392628,-0.15494031450593715,-0.1814803454446785
2023-06-09,-0.015710384615903905,-0.02530917017382306,-0.03918103381718607,-0.06000332308568934,-0.07981126198403632,-0.10604921192649286,-0.13667890507630598,-0.1640833168402187,-0.1940360609516527,-0.22476021086745934
2023-06-12,-0.019327377617059494,-0.04890589890606423,-0.08384819096353713,-0.12328650874902136,-0.16944816810965246,-0.22481121288413575,-0.2820622729227509,-0.3344629029028714,-0.401818679182387,-0.47122857662407025
2023-06-13,-0.037322127479549216,-0.06532923619553843,-0.10772575428585984,-0.15951100284639574,-0.21627549218285558,-0.2768103632101586,-0.3401081284148768,-0.3981371388724535,-0.46817953950487823,-0.5469675141701613
2023-06-14,-0.025389908629539493,-0.05985880355896911,-0.09267982999169333,-0.14257903048822684,-0.19398203321899343,-0.2504051709446977,-0.31389785496136424,-0.37395087440773,-0.4415471894263616,-0.5088813152267084
2023-06-15,-0.009506932728702733,-0.02922769217574328,-0.050682552566346795,-0.08055678435414348,-0.11063142196077047,-0.14531825264400022,-0.18176824568159144,-0.2157434110519838,-0.25422696697016867,-0.2902552912224041
